car_id,aspiration,boreratio,carbody,carheight,carlength,carname,carwidth,citympg,compressionratio,curbweight,cylindernumber,doornumber,drivewheel,enginelocation,enginesize,enginetype,fuelsystem,fueltype,highwaympg,horsepower,peakrpm,price,stroke,symboling,wheelbase
11,std,3.5,sedan,54.29999923706055,176.8000030517578,bmw 320i,64.80000305175781,23.0,8.800000190734863,2395.0,four,two,rwd,front,108.0,ohc,mpfi,gas,29.0,101.0,5800,16430.0,2.799999952316284,2,101.19999694824219
12,std,3.5,sedan,54.29999923706055,176.8000030517578,bmw 320i,64.80000305175781,23.0,8.800000190734863,2395.0,four,four,rwd,front,108.0,ohc,mpfi,gas,29.0,101.0,5800,16925.0,2.799999952316284,0,101.19999694824219
13,std,3.309999942779541,sedan,54.29999923706055,176.8000030517578,bmw x1,64.80000305175781,21.0,9.0,2710.0,six,two,rwd,front,164.0,ohc,mpfi,gas,28.0,121.0,4250,20970.0,3.190000057220459,0,101.19999694824219
14,std,3.309999942779541,sedan,54.29999923706055,176.8000030517578,bmw x3,64.80000305175781,21.0,9.0,2765.0,six,four,rwd,front,164.0,ohc,mpfi,gas,28.0,121.0,4250,21105.0,3.190000057220459,0,101.19999694824219
15,std,3.309999942779541,sedan,55.70000076293945,189.0,bmw z4,66.9000015258789,20.0,9.0,3055.0,six,four,rwd,front,164.0,ohc,mpfi,gas,25.0,121.0,4250,24565.0,3.190000057220459,1,103.5
16,std,3.619999885559082,sedan,55.70000076293945,189.0,bmw x4,66.9000015258789,16.0,8.0,3230.0,six,four,rwd,front,209.0,ohc,mpfi,gas,22.0,182.0,5400,30760.0,3.390000104904175,0,103.5
17,std,3.619999885559082,sedan,53.70000076293945,193.8000030517578,bmw x5,67.9000015258789,16.0,8.0,3380.0,six,two,rwd,front,209.0,ohc,mpfi,gas,22.0,182.0,5400,41315.0,3.390000104904175,0,103.5
18,std,3.619999885559082,sedan,56.29999923706055,197.0,bmw x3,70.9000015258789,15.0,8.0,3505.0,six,four,rwd,front,209.0,ohc,mpfi,gas,20.0,182.0,5400,36880.0,3.390000104904175,0,110.0
19,std,2.9100000858306885,hatchback,53.20000076293945,141.10000610351562,chevrolet impala,60.29999923706055,47.0,9.5,1488.0,three,two,fwd,front,61.0,l,2bbl,gas,53.0,48.0,5100,5151.0,3.0299999713897705,2,88.4000015258789
20,std,3.0299999713897705,hatchback,52.0,155.89999389648438,chevrolet monte carlo,63.599998474121094,38.0,9.600000381469727,1874.0,four,two,fwd,front,90.0,ohc,2bbl,gas,43.0,70.0,5400,6295.0,3.109999895095825,1,94.5
21,std,3.0299999713897705,sedan,52.0,158.8000030517578,chevrolet vega 2300,63.599998474121094,38.0,9.600000381469727,1909.0,four,four,fwd,front,90.0,ohc,2bbl,gas,43.0,70.0,5400,6575.0,3.109999895095825,0,94.5
22,std,2.9700000286102295,hatchback,50.79999923706055,157.3000030517578,dodge rampage,63.79999923706055,37.0,9.40999984741211,1876.0,four,two,fwd,front,90.0,ohc,2bbl,gas,41.0,68.0,5500,5572.0,3.2300000190734863,1,93.69999694824219
23,std,2.9700000286102295,hatchback,50.79999923706055,157.3000030517578,dodge challenger se,63.79999923706055,31.0,9.399999618530273,1876.0,four,two,fwd,front,90.0,ohc,2bbl,gas,38.0,68.0,5500,6377.0,3.2300000190734863,1,93.69999694824219
24,turbo,3.0299999713897705,hatchback,50.79999923706055,157.3000030517578,dodge d200,63.79999923706055,24.0,7.599999904632568,2128.0,four,two,fwd,front,98.0,ohc,mpfi,gas,30.0,102.0,5500,7957.0,3.390000104904175,1,93.69999694824219
25,std,2.9700000286102295,hatchback,50.599998474121094,157.3000030517578,dodge monaco (sw),63.79999923706055,31.0,9.399999618530273,1967.0,four,four,fwd,front,90.0,ohc,2bbl,gas,38.0,68.0,5500,6229.0,3.2300000190734863,1,93.69999694824219
26,std,2.9700000286102295,sedan,50.599998474121094,157.3000030517578,dodge colt hardtop,63.79999923706055,31.0,9.399999618530273,1989.0,four,four,fwd,front,90.0,ohc,2bbl,gas,38.0,68.0,5500,6692.0,3.2300000190734863,1,93.69999694824219
27,std,2.9700000286102295,sedan,50.599998474121094,157.3000030517578,dodge colt (sw),63.79999923706055,31.0,9.399999618530273,1989.0,four,four,fwd,front,90.0,ohc,2bbl,gas,38.0,68.0,5500,7609.0,3.2300000190734863,1,93.69999694824219
28,turbo,3.0299999713897705,sedan,50.599998474121094,157.3000030517578,dodge coronet custom,63.79999923706055,24.0,7.599999904632568,2191.0,four,two,fwd,front,98.0,ohc,mpfi,gas,30.0,102.0,5500,8558.0,3.390000104904175,1,93.69999694824219
29,std,3.3399999141693115,wagon,59.79999923706055,174.60000610351562,dodge dart custom,64.5999984741211,24.0,8.5,2535.0,four,four,fwd,front,122.0,ohc,2bbl,gas,30.0,88.0,5000,8921.0,3.4600000381469727,-1,103.30000305175781
30,turbo,3.5999999046325684,hatchback,50.20000076293945,173.1999969482422,dodge coronet custom (sw),66.30000305175781,19.0,7.0,2811.0,four,two,fwd,front,156.0,ohc,mfi,gas,24.0,145.0,5000,12964.0,3.9000000953674316,3,95.9000015258789
31,std,2.9100000858306885,hatchback,50.79999923706055,144.60000610351562,honda civic,63.900001525878906,49.0,9.600000381469727,1713.0,four,two,fwd,front,92.0,ohc,1bbl,gas,54.0,58.0,4800,6479.0,3.4100000858306885,2,86.5999984741211
32,std,2.9100000858306885,hatchback,50.79999923706055,144.60000610351562,honda civic cvcc,63.900001525878906,31.0,9.199999809265137,1819.0,four,two,fwd,front,92.0,ohc,1bbl,gas,38.0,76.0,6000,6855.0,3.4100000858306885,2,86.5999984741211
33,std,2.9100000858306885,hatchback,52.599998474121094,150.0,honda civic,64.0,38.0,10.100000381469727,1837.0,four,two,fwd,front,79.0,ohc,1bbl,gas,42.0,60.0,5500,5399.0,3.069999933242798,1,93.69999694824219
34,std,2.9100000858306885,hatchback,52.599998474121094,150.0,honda accord cvcc,64.0,30.0,9.199999809265137,1940.0,four,two,fwd,front,92.0,ohc,1bbl,gas,34.0,76.0,6000,6529.0,3.4100000858306885,1,93.69999694824219
35,std,2.9100000858306885,hatchback,52.599998474121094,150.0,honda civic cvcc,64.0,30.0,9.199999809265137,1956.0,four,two,fwd,front,92.0,ohc,1bbl,gas,34.0,76.0,6000,7129.0,3.4100000858306885,1,93.69999694824219
36,std,2.9100000858306885,sedan,54.5,163.39999389648438,honda accord lx,64.0,30.0,9.199999809265137,2010.0,four,four,fwd,front,92.0,ohc,1bbl,gas,34.0,76.0,6000,7295.0,3.4100000858306885,0,96.5
37,std,2.9200000762939453,wagon,58.29999923706055,157.10000610351562,honda civic 1500 gl,63.900001525878906,30.0,9.199999809265137,2024.0,four,four,fwd,front,92.0,ohc,1bbl,gas,34.0,76.0,6000,7295.0,3.4100000858306885,0,96.5
38,std,3.1500000953674316,hatchback,53.29999923706055,167.5,honda accord,65.19999694824219,27.0,9.0,2236.0,four,two,fwd,front,110.0,ohc,1bbl,gas,33.0,86.0,5800,7895.0,3.5799999237060547,0,96.5
39,std,3.1500000953674316,hatchback,53.29999923706055,167.5,honda civic 1300,65.19999694824219,27.0,9.0,2289.0,four,two,fwd,front,110.0,ohc,1bbl,gas,33.0,86.0,5800,9095.0,3.5799999237060547,0,96.5
40,std,3.1500000953674316,sedan,54.099998474121094,175.39999389648438,honda prelude,65.19999694824219,27.0,9.0,2304.0,four,four,fwd,front,110.0,ohc,1bbl,gas,33.0,86.0,5800,8845.0,3.5799999237060547,0,96.5
41,std,3.1500000953674316,sedan,54.099998474121094,175.39999389648438,honda accord,62.5,27.0,9.0,2372.0,four,four,fwd,front,110.0,ohc,1bbl,gas,33.0,86.0,5800,10295.0,3.5799999237060547,0,96.5
42,std,3.1500000953674316,sedan,54.099998474121094,175.39999389648438,honda civic,65.19999694824219,24.0,9.0,2465.0,four,four,fwd,front,110.0,ohc,mpfi,gas,28.0,101.0,5800,12945.0,3.5799999237060547,0,96.5
43,std,3.1500000953674316,sedan,51.0,169.10000610351562,honda civic (auto),66.0,25.0,9.100000381469727,2293.0,four,two,fwd,front,110.0,ohc,2bbl,gas,31.0,100.0,5500,10345.0,3.5799999237060547,1,96.5
44,std,3.309999942779541,sedan,53.5,170.6999969482422,isuzu MU-X,61.79999923706055,24.0,8.5,2337.0,four,four,rwd,front,111.0,ohc,2bbl,gas,29.0,78.0,4800,6785.0,3.2300000190734863,0,94.30000305175781
45,std,3.0299999713897705,sedan,52.0,155.89999389648438,isuzu D-Max ,63.599998474121094,38.0,9.600000381469727,1874.0,four,two,fwd,front,90.0,ohc,2bbl,gas,43.0,70.0,5400,8916.5,3.109999895095825,1,94.5
46,std,3.0299999713897705,sedan,52.0,155.89999389648438,isuzu D-Max V-Cross,63.599998474121094,38.0,9.600000381469727,1909.0,four,four,fwd,front,90.0,ohc,2bbl,gas,43.0,70.0,5400,8916.5,3.109999895095825,0,94.5
47,std,3.430000066757202,hatchback,51.400001525878906,172.60000610351562,isuzu D-Max ,65.19999694824219,24.0,9.199999809265137,2734.0,four,two,rwd,front,119.0,ohc,spfi,gas,29.0,90.0,5000,11048.0,3.2300000190734863,2,96.0
48,std,3.630000114440918,sedan,52.79999923706055,199.60000610351562,jaguar xj,69.5999984741211,15.0,8.100000381469727,4066.0,six,four,rwd,front,258.0,dohc,mpfi,gas,19.0,176.0,4750,32250.0,4.170000076293945,0,113.0
49,std,3.630000114440918,sedan,52.79999923706055,199.60000610351562,jaguar xf,69.5999984741211,15.0,8.100000381469727,4066.0,six,four,rwd,front,258.0,dohc,mpfi,gas,19.0,176.0,4750,35550.0,4.170000076293945,0,113.0
50,std,3.5399999618530273,sedan,47.79999923706055,191.6999969482422,jaguar xk,70.5999984741211,13.0,11.5,3950.0,twelve,two,rwd,front,326.0,ohcv,mpfi,gas,17.0,262.0,5000,36000.0,2.759999990463257,0,102.0
51,std,3.0299999713897705,hatchback,54.099998474121094,159.10000610351562,maxda rx3,64.19999694824219,30.0,9.0,1890.0,four,two,fwd,front,91.0,ohc,2bbl,gas,31.0,68.0,5000,5195.0,3.1500000953674316,1,93.0999984741211
52,std,3.0299999713897705,hatchback,54.099998474121094,159.10000610351562,maxda glc deluxe,64.19999694824219,31.0,9.0,1900.0,four,two,fwd,front,91.0,ohc,2bbl,gas,38.0,68.0,5000,6095.0,3.1500000953674316,1,93.0999984741211
53,std,3.0299999713897705,hatchback,54.099998474121094,159.10000610351562,mazda rx2 coupe,64.19999694824219,31.0,9.0,1905.0,four,two,fwd,front,91.0,ohc,2bbl,gas,38.0,68.0,5000,6795.0,3.1500000953674316,1,93.0999984741211
54,std,3.0299999713897705,sedan,54.099998474121094,166.8000030517578,mazda rx-4,64.19999694824219,31.0,9.0,1945.0,four,four,fwd,front,91.0,ohc,2bbl,gas,38.0,68.0,5000,6695.0,3.1500000953674316,1,93.0999984741211
55,std,3.0799999237060547,sedan,54.099998474121094,166.8000030517578,mazda glc deluxe,64.19999694824219,31.0,9.0,1950.0,four,four,fwd,front,91.0,ohc,2bbl,gas,38.0,68.0,5000,7395.0,3.1500000953674316,1,93.0999984741211
56,std,3.3299999237060547,hatchback,49.599998474121094,169.0,mazda 626,65.69999694824219,17.0,9.399999618530273,2380.0,two,two,rwd,front,70.0,rotor,4bbl,gas,23.0,101.0,6000,10945.0,3.255000114440918,3,95.30000305175781
57,std,3.3299999237060547,hatchback,49.599998474121094,169.0,mazda glc,65.69999694824219,17.0,9.399999618530273,2380.0,two,two,rwd,front,70.0,rotor,4bbl,gas,23.0,101.0,6000,11845.0,3.255000114440918,3,95.30000305175781
58,std,3.3299999237060547,hatchback,49.599998474121094,169.0,mazda rx-7 gs,65.69999694824219,17.0,9.399999618530273,2385.0,two,two,rwd,front,70.0,rotor,4bbl,gas,23.0,101.0,6000,13645.0,3.255000114440918,3,95.30000305175781
59,std,3.3299999237060547,hatchback,49.599998474121094,169.0,mazda glc 4,65.69999694824219,16.0,9.399999618530273,2500.0,two,two,rwd,front,80.0,rotor,mpfi,gas,23.0,135.0,6000,15645.0,3.255000114440918,3,95.30000305175781
60,std,3.390000104904175,hatchback,53.70000076293945,177.8000030517578,mazda 626,66.5,26.0,8.600000381469727,2385.0,four,two,fwd,front,122.0,ohc,2bbl,gas,32.0,84.0,4800,8845.0,3.390000104904175,1,98.80000305175781
61,std,3.390000104904175,sedan,55.5,177.8000030517578,mazda glc custom l,66.5,26.0,8.600000381469727,2410.0,four,four,fwd,front,122.0,ohc,2bbl,gas,32.0,84.0,4800,8495.0,3.390000104904175,0,98.80000305175781
62,std,3.390000104904175,hatchback,53.70000076293945,177.8000030517578,mazda glc custom,66.5,26.0,8.600000381469727,2385.0,four,two,fwd,front,122.0,ohc,2bbl,gas,32.0,84.0,4800,10595.0,3.390000104904175,1,98.80000305175781
63,std,3.390000104904175,sedan,55.5,177.8000030517578,mazda rx-4,66.5,26.0,8.600000381469727,2410.0,four,four,fwd,front,122.0,ohc,2bbl,gas,32.0,84.0,4800,10245.0,3.390000104904175,0,98.80000305175781
64,std,3.390000104904175,sedan,55.5,177.8000030517578,mazda glc deluxe,66.5,36.0,22.700000762939453,2443.0,four,four,fwd,front,122.0,ohc,idi,diesel,42.0,64.0,4650,10795.0,3.390000104904175,0,98.80000305175781
65,std,3.390000104904175,hatchback,55.5,177.8000030517578,mazda 626,66.5,26.0,8.600000381469727,2425.0,four,four,fwd,front,122.0,ohc,2bbl,gas,32.0,84.0,4800,11245.0,3.390000104904175,0,98.80000305175781
66,std,3.759999990463257,sedan,54.400001525878906,175.0,mazda glc,66.0999984741211,19.0,8.0,2670.0,four,four,rwd,front,140.0,ohc,mpfi,gas,27.0,120.0,5000,18280.0,3.1600000858306885,0,104.9000015258789
67,std,3.430000066757202,sedan,54.400001525878906,175.0,mazda rx-7 gs,66.0999984741211,31.0,22.0,2700.0,four,four,rwd,front,134.0,ohc,idi,diesel,39.0,72.0,4200,18344.0,3.640000104904175,0,104.9000015258789
68,turbo,3.5799999237060547,sedan,56.5,190.89999389648438,buick electra 225 custom,70.30000305175781,22.0,21.5,3515.0,five,four,rwd,front,183.0,ohc,idi,diesel,25.0,123.0,4350,25552.0,3.640000104904175,-1,110.0
69,turbo,3.5799999237060547,wagon,58.70000076293945,190.89999389648438,buick century luxus (sw),70.30000305175781,22.0,21.5,3750.0,five,four,rwd,front,183.0,ohc,idi,diesel,25.0,123.0,4350,28248.0,3.640000104904175,-1,110.0
70,turbo,3.5799999237060547,hardtop,54.900001525878906,187.5,buick century,70.30000305175781,22.0,21.5,3495.0,five,two,rwd,front,183.0,ohc,idi,diesel,25.0,123.0,4350,28176.0,3.640000104904175,0,106.69999694824219
71,turbo,3.5799999237060547,sedan,56.29999923706055,202.60000610351562,buick skyhawk,71.69999694824219,22.0,21.5,3770.0,five,four,rwd,front,183.0,ohc,idi,diesel,25.0,123.0,4350,31600.0,3.640000104904175,-1,115.5999984741211
72,std,3.4600000381469727,sedan,56.5,202.60000610351562,buick opel isuzu deluxe,71.69999694824219,16.0,8.300000190734863,3740.0,eight,four,rwd,front,234.0,ohcv,mpfi,gas,18.0,155.0,4750,34184.0,3.0999999046325684,-1,115.5999984741211
73,std,3.4600000381469727,convertible,50.79999923706055,180.3000030517578,buick skylark,70.5,16.0,8.300000190734863,3685.0,eight,two,rwd,front,234.0,ohcv,mpfi,gas,18.0,155.0,4750,35056.0,3.0999999046325684,3,96.5999984741211
74,std,3.799999952316284,sedan,56.70000076293945,208.10000610351562,buick century special,71.69999694824219,14.0,8.0,3900.0,eight,four,rwd,front,308.0,ohcv,mpfi,gas,16.0,184.0,4500,40960.0,3.3499999046325684,0,120.9000015258789
75,std,3.799999952316284,hardtop,55.400001525878906,199.1999969482422,buick regal sport coupe (turbo),72.0,14.0,8.0,3715.0,eight,two,rwd,front,304.0,ohcv,mpfi,gas,16.0,184.0,4500,45400.0,3.3499999046325684,1,112.0
76,turbo,3.7799999713897705,hatchback,54.79999923706055,178.39999389648438,mercury cougar,68.0,19.0,8.0,2910.0,four,two,rwd,front,140.0,ohc,mpfi,gas,24.0,175.0,5000,16503.0,3.119999885559082,1,102.69999694824219
77,std,2.9700000286102295,hatchback,50.79999923706055,157.3000030517578,mitsubishi mirage,64.4000015258789,37.0,9.399999618530273,1918.0,four,two,fwd,front,92.0,ohc,2bbl,gas,41.0,68.0,5500,5389.0,3.2300000190734863,2,93.69999694824219
78,std,2.9700000286102295,hatchback,50.79999923706055,157.3000030517578,mitsubishi lancer,64.4000015258789,31.0,9.399999618530273,1944.0,four,two,fwd,front,92.0,ohc,2bbl,gas,38.0,68.0,5500,6189.0,3.2300000190734863,2,93.69999694824219
79,std,2.9700000286102295,hatchback,50.79999923706055,157.3000030517578,mitsubishi outlander,64.4000015258789,31.0,9.399999618530273,2004.0,four,two,fwd,front,92.0,ohc,2bbl,gas,38.0,68.0,5500,6669.0,3.2300000190734863,2,93.69999694824219
80,turbo,3.0299999713897705,hatchback,50.79999923706055,157.3000030517578,mitsubishi g4,63.79999923706055,24.0,7.599999904632568,2145.0,four,two,fwd,front,98.0,ohc,spdi,gas,30.0,102.0,5500,7689.0,3.390000104904175,1,93.0
81,turbo,3.1700000762939453,hatchback,49.400001525878906,173.0,mitsubishi mirage g4,65.4000015258789,23.0,7.5,2370.0,four,two,fwd,front,110.0,ohc,spdi,gas,30.0,116.0,5500,9959.0,3.4600000381469727,3,96.30000305175781
82,std,3.3499999046325684,hatchback,49.400001525878906,173.0,mitsubishi g4,65.4000015258789,25.0,8.5,2328.0,four,two,fwd,front,122.0,ohc,2bbl,gas,32.0,88.0,5000,8499.0,3.4600000381469727,3,96.30000305175781
83,turbo,3.5799999237060547,hatchback,50.20000076293945,173.1999969482422,mitsubishi outlander,66.30000305175781,19.0,7.0,2833.0,four,two,fwd,front,156.0,ohc,spdi,gas,24.0,145.0,5000,12629.0,3.859999895095825,3,95.9000015258789
84,turbo,3.5899999141693115,hatchback,50.20000076293945,173.1999969482422,mitsubishi g4,66.30000305175781,19.0,7.0,2921.0,four,two,fwd,front,156.0,ohc,spdi,gas,24.0,145.0,5000,14869.0,3.859999895095825,3,95.9000015258789
85,turbo,3.5899999141693115,hatchback,50.20000076293945,173.1999969482422,mitsubishi mirage g4,66.30000305175781,19.0,7.0,2926.0,four,two,fwd,front,156.0,ohc,spdi,gas,24.0,145.0,5000,14489.0,3.859999895095825,3,95.9000015258789
86,std,3.3499999046325684,sedan,51.599998474121094,172.39999389648438,mitsubishi montero,65.4000015258789,25.0,8.5,2365.0,four,four,fwd,front,122.0,ohc,2bbl,gas,32.0,88.0,5000,6989.0,3.4600000381469727,1,96.30000305175781
87,std,3.3499999046325684,sedan,51.599998474121094,172.39999389648438,mitsubishi pajero,65.4000015258789,25.0,8.5,2405.0,four,four,fwd,front,122.0,ohc,2bbl,gas,32.0,88.0,5000,8189.0,3.4600000381469727,1,96.30000305175781
88,turbo,3.1700000762939453,sedan,51.599998474121094,172.39999389648438,mitsubishi outlander,65.4000015258789,23.0,7.5,2403.0,four,four,fwd,front,110.0,ohc,spdi,gas,30.0,116.0,5500,9279.0,3.4600000381469727,1,96.30000305175781
89,std,3.1700000762939453,sedan,51.599998474121094,172.39999389648438,mitsubishi mirage g4,65.4000015258789,23.0,7.5,2403.0,four,four,fwd,front,110.0,ohc,spdi,gas,30.0,116.0,5500,9279.0,3.4600000381469727,-1,96.30000305175781
90,std,3.1500000953674316,sedan,54.5,165.3000030517578,Nissan versa,63.79999923706055,31.0,9.399999618530273,1889.0,four,two,fwd,front,97.0,ohc,2bbl,gas,37.0,69.0,5200,5499.0,3.2899999618530273,1,94.5
91,std,2.990000009536743,sedan,54.5,165.3000030517578,nissan gt-r,63.79999923706055,45.0,21.899999618530273,2017.0,four,two,fwd,front,103.0,ohc,idi,diesel,50.0,55.0,4800,7099.0,3.4700000286102295,1,94.5
92,std,3.1500000953674316,sedan,54.5,165.3000030517578,nissan rogue,63.79999923706055,31.0,9.399999618530273,1918.0,four,two,fwd,front,97.0,ohc,2bbl,gas,37.0,69.0,5200,6649.0,3.2899999618530273,1,94.5
93,std,3.1500000953674316,sedan,54.5,165.3000030517578,nissan latio,63.79999923706055,31.0,9.399999618530273,1938.0,four,four,fwd,front,97.0,ohc,2bbl,gas,37.0,69.0,5200,6849.0,3.2899999618530273,1,94.5
94,std,3.1500000953674316,wagon,53.5,170.1999969482422,nissan titan,63.79999923706055,31.0,9.399999618530273,2024.0,four,four,fwd,front,97.0,ohc,2bbl,gas,37.0,69.0,5200,7349.0,3.2899999618530273,1,94.5
95,std,3.1500000953674316,sedan,54.5,165.3000030517578,nissan leaf,63.79999923706055,31.0,9.399999618530273,1951.0,four,two,fwd,front,97.0,ohc,2bbl,gas,37.0,69.0,5200,7299.0,3.2899999618530273,1,94.5
96,std,3.1500000953674316,hatchback,53.29999923706055,165.60000610351562,nissan juke,63.79999923706055,31.0,9.399999618530273,2028.0,four,two,fwd,front,97.0,ohc,2bbl,gas,37.0,69.0,5200,7799.0,3.2899999618530273,1,94.5
97,std,3.1500000953674316,sedan,54.5,165.3000030517578,nissan latio,63.79999923706055,31.0,9.399999618530273,1971.0,four,four,fwd,front,97.0,ohc,2bbl,gas,37.0,69.0,5200,7499.0,3.2899999618530273,1,94.5
98,std,3.1500000953674316,wagon,53.5,170.1999969482422,nissan note,63.79999923706055,31.0,9.399999618530273,2037.0,four,four,fwd,front,97.0,ohc,2bbl,gas,37.0,69.0,5200,7999.0,3.2899999618530273,1,94.5
99,std,3.1500000953674316,hardtop,53.29999923706055,162.39999389648438,nissan clipper,63.79999923706055,31.0,9.399999618530273,2008.0,four,two,fwd,front,97.0,ohc,2bbl,gas,37.0,69.0,5200,8249.0,3.2899999618530273,2,95.0999984741211
100,std,3.3299999237060547,hatchback,54.70000076293945,173.39999389648438,nissan rogue,65.19999694824219,27.0,8.5,2324.0,four,four,fwd,front,120.0,ohc,2bbl,gas,34.0,97.0,5200,8949.0,3.4700000286102295,0,97.19999694824219
101,std,3.3299999237060547,sedan,54.70000076293945,173.39999389648438,nissan nv200,65.19999694824219,27.0,8.5,2302.0,four,four,fwd,front,120.0,ohc,2bbl,gas,34.0,97.0,5200,9549.0,3.4700000286102295,0,97.19999694824219
102,std,3.430000066757202,sedan,55.099998474121094,181.6999969482422,nissan dayz,66.5,17.0,9.0,3095.0,six,four,fwd,front,181.0,ohcv,mpfi,gas,22.0,152.0,5200,13499.0,3.2699999809265137,0,100.4000015258789
103,std,3.430000066757202,wagon,56.099998474121094,184.60000610351562,nissan fuga,66.5,17.0,9.0,3296.0,six,four,fwd,front,181.0,ohcv,mpfi,gas,22.0,152.0,5200,14399.0,3.2699999809265137,0,100.4000015258789
104,std,3.430000066757202,sedan,55.099998474121094,184.60000610351562,nissan otti,66.5,19.0,9.0,3060.0,six,four,fwd,front,181.0,ohcv,mpfi,gas,25.0,152.0,5200,13499.0,3.2699999809265137,0,100.4000015258789
105,std,3.430000066757202,hatchback,49.70000076293945,170.6999969482422,nissan teana,67.9000015258789,19.0,9.0,3071.0,six,two,rwd,front,181.0,ohcv,mpfi,gas,25.0,160.0,5200,17199.0,3.2699999809265137,3,91.30000305175781
106,turbo,3.430000066757202,hatchback,49.70000076293945,170.6999969482422,nissan kicks,67.9000015258789,17.0,7.800000190734863,3139.0,six,two,rwd,front,181.0,ohcv,mpfi,gas,23.0,200.0,5200,19699.0,3.2699999809265137,3,91.30000305175781
107,std,3.430000066757202,hatchback,49.70000076293945,178.5,nissan clipper,67.9000015258789,19.0,9.0,3139.0,six,two,rwd,front,181.0,ohcv,mpfi,gas,25.0,160.0,5200,18399.0,3.2699999809265137,1,99.19999694824219
108,std,3.4600000381469727,sedan,56.70000076293945,186.6999969482422,peugeot 504,68.4000015258789,19.0,8.399999618530273,3020.0,four,four,rwd,front,120.0,l,mpfi,gas,24.0,97.0,5000,11900.0,3.190000057220459,0,107.9000015258789
109,turbo,3.700000047683716,sedan,56.70000076293945,186.6999969482422,peugeot 304,68.4000015258789,28.0,21.0,3197.0,four,four,rwd,front,152.0,l,idi,diesel,33.0,95.0,4150,13200.0,3.5199999809265137,0,107.9000015258789
110,std,3.4600000381469727,wagon,58.70000076293945,198.89999389648438,peugeot 504 (sw),68.4000015258789,19.0,8.399999618530273,3230.0,four,four,rwd,front,120.0,l,mpfi,gas,24.0,97.0,5000,12440.0,3.190000057220459,0,114.19999694824219
111,turbo,3.700000047683716,wagon,58.70000076293945,198.89999389648438,peugeot 504,68.4000015258789,25.0,21.0,3430.0,four,four,rwd,front,152.0,l,idi,diesel,25.0,95.0,4150,13860.0,3.5199999809265137,0,114.19999694824219
112,std,3.4600000381469727,sedan,56.70000076293945,186.6999969482422,peugeot 504,68.4000015258789,19.0,8.399999618530273,3075.0,four,four,rwd,front,120.0,l,mpfi,gas,24.0,95.0,5000,15580.0,2.190000057220459,0,107.9000015258789
113,turbo,3.700000047683716,sedan,56.70000076293945,186.6999969482422,peugeot 604sl,68.4000015258789,28.0,21.0,3252.0,four,four,rwd,front,152.0,l,idi,diesel,33.0,95.0,4150,16900.0,3.5199999809265137,0,107.9000015258789
